Company Name,Ticker,Period Ending,Month and Year,Corresponding Date,Last Sale Price,Revenue ($M),Gross Profit Margin,EBITDA ($M),EBITDA Margin,Net Income ($M),Normalized Net Income ($M),Normalized Net Income Margin,Normalized Basic EPS,Diluted EPS incl extra items,Primary Industry,Debt to Equity,Current Ratio,EBITDA/Int Expense,US YOY CPI,Unemployment Rate,Fed Funds Rate,Book Value/Share,Year,Last Sale Price Change From Baseline (%),Revenue ($M) Change From Baseline (%),EBITDA ($M) Change From Baseline (%)
3M Company,NYSE:MMM,FQ42023,Dec2023,2023-12-31,109.32,8013.0,0.420441,1550.0,0.14102,945.0,463.625,0.057859,0.83581,1.70022,Specialty Chemicals ,3.480279,1.07073,4.45148,0.0335212,0.037000000000000005,0.0533,8.69917,2023.0,-47.38665896621427,1.907668828691339,-25.73071394345951
3M Company,NYSE:MMM,FQ32023,Sep2023,2023-09-30,93.62,8312.0,0.44947000000000004,2270.0,0.25264600000000004,-2075.0,937.25,0.112758,1.69087,-3.74346,Specialty Chemicals ,3.5757760000000003,1.04733,7.82072,0.036997,0.038,0.0533,8.45891,2023.0,-54.94272788526325,5.710288693882742,8.768567321514135
3M Company,NYSE:MMM,FQ22023,Jun2023,2023-06-30,100.09,8325.0,0.452372,2159.0,0.205405,-6841.0,1005.625,0.120795,1.81554,-12.3506,Specialty Chemicals ,2.150948,1.44056,15.73958,0.0296918,0.036000000000000004,0.0508,14.12701,2023.0,-51.82885744537491,5.875619992369325,3.4499281264973645
3M Company,NYSE:MMM,FQ12023,Mar2023,2023-03-31,105.11,8031.0,0.42759300000000006,1790.0,0.180052,976.0,771.875,0.096111,1.39655,1.76,Specialty Chemicals ,1.1035110000000001,1.41749,15.42683,0.0498497,0.035,0.0483,27.73023,2023.0,-49.41284050437964,2.1365890881343,-14.230953521801629
3M Company,NYSE:MMM,FQ42022,Dec2022,2022-12-31,119.92,8079.0,0.432479,2356.0,0.24879300000000001,541.0,1135.5,0.140549,2.05744,0.97464,Specialty Chemicals ,1.14807,1.54237,21.42174,0.06454399999999999,0.035,0.0433,26.80406,2022.0,-42.285109250168446,2.7470431133155286,12.889314805941543
3M Company,NYSE:MMM,FQ32022,Sep2022,2022-09-30,110.5,8619.0,0.45144399999999996,1953.0,0.218934,3859.0,881.0,0.102216,1.54887,6.77,Specialty Chemicals ,1.174837,1.56083,19.47642,0.0820167,0.035,0.0308,25.47296,2022.0,-46.81875060159784,9.614650896604351,-6.420699568758984
3M Company,NYSE:MMM,FQ22022,Jun2022,2022-06-30,129.41,8702.0,0.414732,639.0,0.020339999999999997,78.0,32.875,0.003777,0.05757,0.1366,Specialty Chemicals ,1.244643,1.46665,5.86328,0.0905976,0.036000000000000004,0.0158,24.12554,2022.0,-37.717778419482144,10.670227648480225,-69.38188787733588
3M Company,NYSE:MMM,FQ12022,Mar2022,2022-03-31,148.88,8829.0,0.45339199999999996,2167.0,0.20829,1299.0,999.125,0.113164,1.74581,2.26,Specialty Chemicals ,1.173287,1.57911,20.16372,0.0854246,0.036000000000000004,0.0033,26.2363,2022.0,-28.3472904033112,12.285387256772225,3.8332534738859607
3M Company,NYSE:MMM,FQ42021,Dec2021,2021-12-31,177.63,8612.0,0.454598,2198.0,0.211565,1339.0,989.0,0.114839,1.7203,2.30727,Specialty Chemicals ,1.211682,1.70481,19.57203,0.07036400000000001,0.039,0.0007000000000000001,26.3113,2021.0,-14.510539994224663,9.525626351265421,5.318639195016771
3M Company,NYSE:MMM,FQ32021,Sep2021,2021-09-30,175.42,8942.0,0.45728,2344.0,0.223551,1434.0,1097.625,0.12274900000000001,1.89376,2.45,Specialty Chemicals ,1.3081209999999999,1.70483,20.99359,0.0539035,0.047,0.0006,25.09315,2021.0,-15.574164982192709,13.722497774386365,12.314326784858649
3M Company,NYSE:MMM,FQ22021,Jun2021,2021-06-30,198.63,8950.0,0.47273699999999996,2523.0,0.244134,1524.0,1211.5,0.135363,2.0852,2.59,Specialty Chemicals ,1.317098,1.73125,21.77893,0.0539145,0.059000000000000004,0.0008,24.96897,2021.0,-4.403696217152761,13.824240111916572,20.891231432678488
3M Company,NYSE:MMM,FQ12021,Mar2021,2021-03-31,192.68,8851.0,0.504123,2682.0,0.266071,1624.0,1306.375,0.147596,2.25043,2.77,Specialty Chemicals ,1.378579,1.83487,21.16856,0.026197599999999998,0.061,0.0006,23.73744,2021.0,-7.267301953989794,12.565178684980289,28.509822712026832
3M Company,NYSE:MMM,FQ42020,Dec2020,2020-12-31,174.79,8583.0,0.5011059999999999,2598.0,0.260048,1405.0,1224.0,0.142607,2.11509,2.40971,Specialty Chemicals ,1.52927,1.885,19.22163,0.0136201,0.067,0.0009,22.27089,2020.0,-15.877370295504864,9.156810377718429,24.484906564446575
3M Company,NYSE:MMM,FQ32020,Sep2020,2020-09-30,160.18,8350.0,0.48467,2430.0,0.24982,1430.0,1136.625,0.136122,1.96716,2.45,Specialty Chemicals ,1.7127180000000002,1.90418,19.76758,0.0137133,0.078,0.0009,20.59561,2020.0,-22.908845894696313,6.193564797151215,16.43507426928606
3M Company,NYSE:MMM,FQ22020,Jun2020,2020-06-30,155.99,7176.0,0.46976,1883.0,0.212513,1306.0,792.375,0.11042,1.37327,2.25,Specialty Chemicals ,1.9804849999999998,1.93711,14.47628,0.0064573,0.11,0.0008,18.84832,2020.0,-24.925401867359703,-8.737123235406335,-9.774796358409201
3M Company,NYSE:MMM,FQ12020,Mar2020,2020-03-31,136.51,8075.0,0.491145,2156.0,0.229102,1308.0,999.875,0.123823,1.73349,2.25,Specialty Chemicals ,2.286413,1.65207,18.3435,0.0153933,0.044000000000000004,0.0008,17.64093,2020.0,-34.300702666281644,2.696171944550426,3.3061811212266408
